Período,Remuneracion
Enero 1995,885.22
Febrero 1995,826.49
Marzo 1995,825.71
Abril 1995,785.44
Mayo 1995,799.84
Junio 1995,1206.21
Julio 1995,810.2
Agosto 1995,805.71
Septiembre 1995,807.08
Octubre 1995,809.13
Noviembre 1995,813.97
Diciembre 1995,1254.79
Enero 1996,864.39
Febrero 1996,816.04
Marzo 1996,807.94
Abril 1996,797.32
Mayo 1996,805.12
Junio 1996,1173.06
Julio 1996,801.17
Agosto 1996,802.38
Septiembre 1996,803.74
Octubre 1996,807.01
Noviembre 1996,799.97
Diciembre 1996,1206.57
Enero 1997,850.79
Febrero 1997,803.39
Marzo 1997,801.45
Abril 1997,792.93
Mayo 1997,798.7
Junio 1997,1168.7
Julio 1997,797.83
Agosto 1997,790.96
Septiembre 1997,801.38
Octubre 1997,815.65
Noviembre 1997,792.57
Diciembre 1997,1206.03
Enero 1998,854.06
Febrero 1998,810.32
Marzo 1998,817.08
Abril 1998,807.27
Mayo 1998,799.62
Junio 1998,1182.23
Julio 1998,805.11
Agosto 1998,801.95
Septiembre 1998,802.73
Octubre 1998,817.63
Noviembre 1998,801.99
Diciembre 1998,1224.79
Enero 1999,857.37
Febrero 1999,821.08
Marzo 1999,826.2
Abril 1999,814.42
Mayo 1999,804.0
Junio 1999,1189.4
Julio 1999,806.62
Agosto 1999,806.68
Septiembre 1999,809.59
Octubre 1999,814.85
Noviembre 1999,809.29
Diciembre 1999,1225.38
Enero 2000,870.85
Febrero 2000,833.5
Marzo 2000,839.65
Abril 2000,828.26
Mayo 2000,813.42
Junio 2000,1192.52
Julio 2000,812.29
Agosto 2000,815.24
Septiembre 2000,813.33
Octubre 2000,818.51
Noviembre 2000,802.66
Diciembre 2000,1210.71
Enero 2001,872.13
Febrero 2001,834.76
Marzo 2001,843.71
Abril 2001,821.64
Mayo 2001,818.16
Junio 2001,1181.61
Julio 2001,802.91
Agosto 2001,809.21
Septiembre 2001,800.27
Octubre 2001,809.34
Noviembre 2001,804.6
Diciembre 2001,1200.61
Enero 2002,855.9
Febrero 2002,852.26
Marzo 2002,839.09
Abril 2002,836.76
Mayo 2002,840.09
Junio 2002,1204.94
Julio 2002,869.14
Agosto 2002,867.47
Septiembre 2002,868.73
Octubre 2002,902.16
Noviembre 2002,885.77
Diciembre 2002,1316.54
Enero 2003,979.81
Febrero 2003,947.12
Marzo 2003,961.15
Abril 2003,947.83
Mayo 2003,947.96
Junio 2003,1338.85
Julio 2003,967.54
Agosto 2003,970.19
Septiembre 2003,985.84
Octubre 2003,1018.61
Noviembre 2003,1012.95
Diciembre 2003,1521.15
Enero 2004,1145.96
Febrero 2004,1131.09
Marzo 2004,1161.59
Abril 2004,1131.9
Mayo 2004,1107.73
Junio 2004,1593.52
Julio 2004,1105.03
Agosto 2004,1106.81
Septiembre 2004,1109.56
Octubre 2004,1125.36
Noviembre 2004,1115.9
Diciembre 2004,1676.47
Enero 2005,1277.73
Febrero 2005,1214.67
Marzo 2005,1270.18
Abril 2005,1263.4
Mayo 2005,1252.74
Junio 2005,1793.65
Julio 2005,1285.13
Agosto 2005,1315.89
Septiembre 2005,1364.53
Octubre 2005,1370.78
Noviembre 2005,1402.53
Diciembre 2005,2090.09
Enero 2006,1548.05
Febrero 2006,1483.14
Marzo 2006,1544.75
Abril 2006,1527.46
Mayo 2006,1551.59
Junio 2006,2237.93
Julio 2006,1589.75
Agosto 2006,1624.65
Septiembre 2006,1648.89
Octubre 2006,1654.53
Noviembre 2006,1656.15
Diciembre 2006,2477.02
Enero 2007,1844.19
Febrero 2007,1761.72
Marzo 2007,1851.55
Abril 2007,1827.84
Mayo 2007,1852.81
Junio 2007,2678.83
Julio 2007,1924.27
Agosto 2007,1974.06
Septiembre 2007,1991.86
Octubre 2007,2045.38
Noviembre 2007,2046.06
Diciembre 2007,3074.12
Enero 2008,2299.14
Febrero 2008,2241.38
Marzo 2008,2308.81
Abril 2008,2379.11
Mayo 2008,2412.15
Junio 2008,3457.79
Julio 2008,2530.74
Agosto 2008,2557.91
Septiembre 2008,2640.95
Octubre 2008,2683.88
Noviembre 2008,2641.97
Diciembre 2008,3995.29
Enero 2009,2907.11
Febrero 2009,2791.44
Marzo 2009,2869.86
Abril 2009,2885.72
Mayo 2009,2886.88
Junio 2009,4245.81
Julio 2009,2991.46
Agosto 2009,3026.88
Septiembre 2009,3112.32
Octubre 2009,3135.62
Noviembre 2009,3110.03
Diciembre 2009,4723.81
Enero 2010,3468.61
Febrero 2010,3376.54
Marzo 2010,3578.79
Abril 2010,3546.73
Mayo 2010,3575.29
Junio 2010,5323.0
Julio 2010,3796.59
Agosto 2010,3875.35
Septiembre 2010,4013.63
Octubre 2010,4055.92
Noviembre 2010,4099.69
Diciembre 2010,6166.26
Enero 2011,4608.69
Febrero 2011,4365.13
Marzo 2011,4757.17
Abril 2011,4633.46
Mayo 2011,4862.15
Junio 2011,7042.69
Julio 2011,5019.54
Agosto 2011,5114.96
Septiembre 2011,5277.16
Octubre 2011,5332.89
Noviembre 2011,5402.56
Diciembre 2011,8130.47
Enero 2012,6028.03
Febrero 2012,5824.77
Marzo 2012,6145.19
Abril 2012,6087.02
Mayo 2012,6278.22
Junio 2012,9107.16
Julio 2012,6612.18
Agosto 2012,6609.57
Septiembre 2012,6695.82
Octubre 2012,6858.57
Noviembre 2012,7006.19
Diciembre 2012,10426.35
Enero 2013,7722.74
Febrero 2013,7426.73
Marzo 2013,7840.12
Abril 2013,7730.75
Mayo 2013,8037.64
Junio 2013,11545.88
Julio 2013,8365.09
Agosto 2013,8291.44
Septiembre 2013,8459.22
Octubre 2013,8638.46
Noviembre 2013,8786.8
Diciembre 2013,13174.71
Enero 2014,9713.2
Febrero 2014,9428.09
Marzo 2014,10097.4
Abril 2014,10327.23
Mayo 2014,10398.99
Junio 2014,15007.04
Julio 2014,11094.08
Agosto 2014,11002.19
Septiembre 2014,11382.62
Octubre 2014,11734.64
Noviembre 2014,11850.1
Diciembre 2014,17751.6
Enero 2015,13089.84
Febrero 2015,12694.8
Marzo 2015,13338.17
Abril 2015,13093.16
Mayo 2015,13454.92
Junio 2015,20156.66
Julio 2015,14583.64
Agosto 2015,14434.43
Septiembre 2015,14957.68
Octubre 2015,15013.59
Noviembre 2015,15303.76
Diciembre 2015,23203.6
Enero 2016,16866.10457882607
Febrero 2016,16779.26038142525
Marzo 2016,17576.2936972755
Abril 2016,17798.78130438711
Mayo 2016,18128.704128074656
Junio 2016,26326.315403341676
Julio 2016,19147.223427919453
Agosto 2016,19304.549892857063
Septiembre 2016,19538.657823303867
Octubre 2016,20209.04721800345
Noviembre 2016,20679.63633158831
Diciembre 2016,31181.920881228358
Enero 2017,23149.704032809957
Febrero 2017,22287.30297369328
Marzo 2017,23420.15373530013
Abril 2017,23056.485262773014
Mayo 2017,23275.42787150114
Junio 2017,34215.97754404874
Julio 2017,24880.928445936042
Agosto 2017,24911.782346448832
Septiembre 2017,25118.445697676812
Octubre 2017,25836.75571874979
Noviembre 2017,26075.652536574646
Diciembre 2017,38563.67721876944
Enero 2018,28795.139188535133
Febrero 2018,27724.878411126843
Marzo 2018,29174.536250615645
Abril 2018,29146.481043466247
Mayo 2018,29453.375658827765
Junio 2018,42512.181887360304
Julio 2018,30591.83637160002
Agosto 2018,31293.17047671858
Septiembre 2018,32034.89541287356
Octubre 2018,33586.96373429442
Noviembre 2018,35225.64231990577
Diciembre 2018,51732.16898481005
Enero 2019,39454.58071799599
Febrero 2019,38365.91604121781
Marzo 2019,41439.23097593662
Abril 2019,41133.9884265174
Mayo 2019,42462.10016139577
Junio 2019,61343.26937996325
Julio 2019,45090.724995546414
Agosto 2019,46149.952702700044
Septiembre 2019,47494.73954575277
Octubre 2019,51085.49216438733
Noviembre 2019,51307.77588654591
Diciembre 2019,76103.15136406099
Enero 2020,59174.55358271618
Febrero 2020,59859.77266260431
Marzo 2020,61896.580723787476
Abril 2020,57845.259066480656
Mayo 2020,57342.538342523316
Junio 2020,85458.22372131092
Julio 2020,60868.41622453812
Agosto 2020,61913.3480282837
Septiembre 2020,64161.74593557209
Octubre 2020,68108.72949861233
Noviembre 2020,69308.3232229269
Diciembre 2020,103375.19709824334
Enero 2021,78852.76720440312
Febrero 2021,79789.41790036715
Marzo 2021,85611.50705031109
Abril 2021,86145.08949856261
Mayo 2021,86697.12197282848
Junio 2021,127132.85117371191
Julio 2021,94460.7222163123
Agosto 2021,96663.93177401232
Septiembre 2021,99916.2019081293
Octubre 2021,104455.59429117682
Noviembre 2021,108278.84745911909
Diciembre 2021,160794.05004048796
Enero 2022,122700.73199273103
Febrero 2022,123340.77111761941
Marzo 2022,136935.1480921834
Abril 2022,138254.2999565547
Mayo 2022,144485.41890339175
Junio 2022,211726.8424179501
Julio 2022,157052.74764504106
Agosto 2022,167585.6957627368
Septiembre 2022,179438.98010555984
Octubre 2022,189111.68705435234
Noviembre 2022,203119.44492676225
Diciembre 2022,317848.34373875044
Enero 2023,241706.31650662312
Febrero 2023,249422.72890812758
Marzo 2023,276739.7714574517
Abril 2023,287934.52449078363
Mayo 2023,303249.5710126509
Junio 2023,458848.3793733415
Julio 2023,352070.0474414654
Agosto 2023,389265.2546816426
Septiembre 2023,431695.0896687198
Octubre 2023,473146.30133314576
Noviembre 2023,521738.97275143315
Diciembre 2023,841141.5606705518
Enero 2024,756220.42
Febrero 2024,858706.94
Marzo 2024,948558.53
Abril 2024,1056040.39
Mayo 2024,1076243.57
Junio 2024,1627774.73
Julio 2024,1219882.02
Agosto 2024,1259287.39
Septiembre 2024,1304720.66
Octubre 2024,1377016.8
Noviembre 2024,1411221.7
Diciembre 2024,2126399.66
Enero 2025,1597216.19
Febrero 2025,1594118.99
Marzo 2025,1675632.35
Abril 2025,1681761.84
Mayo 2025,1635950.39
Junio 2025,2423351.69
Julio 2025,1745430.26
Agosto 2025,1751203.38
Septiembre 2025,1797892.7460266931
