Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,TipoSerie,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
3º Trim 2015,6620148.0,,,,,,C1.2,Total,0.0049629181527615085,0.028247278312047097,,,,,,,,,,
4º Trim 2015,6606332.0,,,,,,C1.2,Total,-0.002086962406278481,0.021450779941916576,,,,,,,,,,
1º Trim 2016,6573933.0,,,,,,C1.2,Total,-0.004904234301273402,0.008179309906958032,,,,,,,,,,
2º Trim 2016,6541669.0,,,,,,C1.2,Total,-0.004907868698996509,-0.006950483912224081,,,,,,,,,,
3º Trim 2016,6531339.0,,,,,,C1.2,Total,-0.0015791077170062007,-0.013414956886160234,,,,,,,,,,
4º Trim 2016,6549019.0,,,,,,C1.2,Total,0.002706948758899319,-0.008675464690542367,,,,,,,,,,
1º Trim 2017,6574716.0,,,,,,C1.2,Total,0.003923793777358187,0.00011910678128290719,,,,,,,,,,
2º Trim 2017,6592012.0,,,,,,C1.2,Total,0.002630683971748704,0.007695742477951795,,,,,,,,,,
3º Trim 2017,6626401.0,,,,,,C1.2,Total,0.005216768416076878,0.014554749033850456,,,,,,,,,,
4º Trim 2017,6668132.0,,,,,,C1.2,Total,0.006297687085342396,0.01818791486175253,,,,,,,,,,
1º Trim 2018,6681653.0,,,,,,C1.2,Total,0.002027704310592515,0.01626488505359025,,,,,,,,,,
2º Trim 2018,6664543.0,,,,,,C1.2,Total,-0.002560743576477287,0.011002862252071033,,,,,,,,,,
3º Trim 2018,6614572.0,,,,,,C1.2,Total,-0.0074980385001641725,-0.0017851319290819179,,,,,,,,,,
4º Trim 2018,6563677.0,,,,,,C1.2,Total,-0.007694375388158092,-0.0156648068754488,,,,,,,,,,
1º Trim 2019,6532967.0,,,,,,C1.2,Total,-0.004678779897304475,-0.022252876645943775,,,,,,,,,,
2º Trim 2019,6501724.0,,,,,,C1.2,Total,-0.004782359990491258,-0.02443063237794396,,,,,,,,,,
3º Trim 2019,6469133.0,,,,,,C1.2,Total,-0.005012670485551207,-0.021987666019812058,,,,,,,,,,
4º Trim 2019,6402707.0,,,,,,C1.2,Total,-0.01026814566959744,-0.024524363401794425,,,,,,,,,,
1º Trim 2020,6338470.0,,,,,,C1.2,Total,-0.010032787694329914,-0.029771618316761783,,,,,,,,,,
2º Trim 2020,6145726.0,,,,,,C1.2,Total,-0.03040860018269398,-0.05475440052515301,,,,,,,,,,
3º Trim 2020,6129919.0,,,,,,C1.2,Total,-0.0025720313596798716,-0.052435774623894704,,,,,,,,,,
4º Trim 2020,6156486.0,,,,,,C1.2,Total,0.004333988752543094,-0.038455765662867236,,,,,,,,,,
1º Trim 2021,6203798.0,,,,,,C1.2,Total,0.0076849033685775225,-0.021246767753101303,,,,,,,,,,
2º Trim 2021,6263412.0,,,,,,C1.2,Total,0.009609274834544879,0.019149242904743957,,,,,,,,,,
3º Trim 2021,6293430.0,,,,,,C1.2,Total,0.00479259547352151,0.026674251323712372,,,,,,,,,,
4º Trim 2021,6377287.0,,,,,,C1.2,Total,0.013324530502444532,0.03586477740711169,,,,,,,,,,
1º Trim 2022,6469876.0,,,,,,C1.2,Total,0.01451855624499876,0.0428895331537229,,,,,,,,,,
2º Trim 2022,6558101.0,,,,,,C1.2,Total,0.013636273709109803,0.04704927601760822,,,,,,,,,,
3º Trim 2022,6624372.0,,,,,,C1.2,Total,0.010105211859347651,0.05258531516200238,,,,,,,,,,
4º Trim 2022,6683917.0,,,,,,C1.2,Total,0.008988776596483339,0.048081574500253854,,,,,,,,,,
1º Trim 2023,6747028.0,,,,,,C1.2,Total,0.009442217789359164,0.042837297036295574,,,,,,,,,,
2º Trim 2023,6799577.0,,,,,,C1.2,Total,0.0077884662698894935,0.036821024866802166,,,,,,,,,,
3º Trim 2023,6827054.0,,,,,,C1.2,Total,0.004040986667258828,0.030596409742689623,,,,,,,,,,
4º Trim 2023,6795056.0,,,,,,C1.2,Total,-0.004686941102267528,0.01662782467226931,,,,,,,,,,
1º Trim 2024,6720126.0,,,,,,C1.2,Total,-0.011027135022875445,-0.003987237047185843,,,,,,,,,,
2º Trim 2024,6653292.0,,,,,,C1.2,Total,-0.009945349238987489,-0.021513838287293474,,,,,,,,,,
3º Trim 2024*,6645058.843936479,,,,,,C1.2,Total,-0.0012374559937428087,-0.026657934163626273,,,,,,,,,,
1º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,242363.0,33052.0,884282.0,44277.0,182266.0,520178.0,1517860.0,3424278.0,,
2º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,245658.0,33732.0,892050.0,44639.0,186361.0,527860.0,1535203.0,3465503.0,,
3º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,241170.0,34170.0,898198.0,45254.0,202370.0,536994.0,1570251.0,3528407.0,,
4º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,247030.0,36234.0,912318.0,44488.0,216490.0,552783.0,1617638.0,3626981.0,,
1º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,268980.0,35707.0,923616.0,44709.0,232424.0,563901.0,1655183.0,3724520.0,,
2º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,268271.0,37067.0,934635.0,45016.0,236270.0,571603.0,1683030.0,3775892.0,,
3º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,255849.0,37630.0,934990.0,47387.0,246182.0,581901.0,1731664.0,3835603.0,,
4º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,260015.0,37678.0,948585.0,47626.0,256015.0,599984.0,1803090.0,3952993.0,,
1º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,280992.0,38583.0,954011.0,47983.0,260297.0,612061.0,1862393.0,4056320.0,,
2º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,267630.0,39071.0,956073.0,47999.0,261152.0,617944.0,1878731.0,4068600.0,,
3º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,261521.0,38891.0,949006.0,49013.0,268986.0,621745.0,1903918.0,4093080.0,,
4º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,262676.0,37144.0,943114.0,48348.0,275414.0,628976.0,1923039.0,4118711.0,,
1º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,278661.0,35422.0,929183.0,48240.0,274926.0,628543.0,1909559.0,4104534.0,,
2º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,263926.0,34764.0,907128.0,48213.0,272491.0,622727.0,1902911.0,4052160.0,,
3º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,253656.0,35002.0,887976.0,49240.0,267604.0,616282.0,1902045.0,4011805.0,,
4º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,253928.0,35754.0,882374.0,49200.0,260113.0,620054.0,1923576.0,4024999.0,,
1º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,267916.0,36584.0,876787.0,48749.0,244685.0,625346.0,1926806.0,4026873.0,,
2º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,258186.0,36922.0,858663.0,48886.0,226359.0,619489.0,1919905.0,3968410.0,,
3º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,254156.0,36911.0,850289.0,48376.0,223959.0,623845.0,1932962.0,3970498.0,,
4º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,254178.0,36694.0,848137.0,48906.0,230559.0,636292.0,1961859.0,4016625.0,,
1º Trim 2001,,,,,,,C2.1,Grandes divisiones,,,269434.0,37775.0,845279.0,48923.0,227518.0,643317.0,1964040.0,4036286.0,,
2º Trim 2001,,,,,,,C2.1,Grandes divisiones,,,264148.0,38308.0,829442.0,48808.0,217531.0,635707.0,1946721.0,3980665.0,,
3º Trim 2001,,,,,,,C2.1,Grandes divisiones,,,248767.0,37431.0,807285.0,49064.0,199686.0,623654.0,1913737.0,3879624.0,,
4º Trim 2001,,,,,,,C2.1,Grandes divisiones,,,239993.0,37022.0,781115.0,48668.0,179609.0,610612.0,1889119.0,3786138.0,,
1º Trim 2002,,,,,,,C2.1,Grandes divisiones,,,248276.0,36216.0,744577.0,47792.0,137835.0,583308.0,1811262.0,3609266.0,,
2º Trim 2002,,,,,,,C2.1,Grandes divisiones,,,244282.0,34791.0,730679.0,46131.0,118101.0,563763.0,1772673.0,3510420.0,,
3º Trim 2002,,,,,,,C2.1,Grandes divisiones,,,239053.0,34535.0,725283.0,45970.0,114440.0,553954.0,1755356.0,3468591.0,,
4º Trim 2002,,,,,,,C2.1,Grandes divisiones,,,239528.0,35399.0,733821.0,45880.0,123726.0,557661.0,1770680.0,3506695.0,,
1º Trim 2003,,,,,,,C2.1,Grandes divisiones,,,259834.0,36765.0,757028.0,45893.0,136691.0,567939.0,1797996.0,3602146.0,,
2º Trim 2003,,,,,,,C2.1,Grandes divisiones,,,262414.0,38136.0,773084.0,46068.0,148789.0,574004.0,1825367.0,3667862.0,,
3º Trim 2003,,,,,,,C2.1,Grandes divisiones,,,259235.0,39320.0,796014.0,46363.0,163165.0,594536.0,1856806.0,3755439.0,,
4º Trim 2003,,,,,,,C2.1,Grandes divisiones,,,261478.0,40422.0,824545.0,46505.0,181935.0,619348.0,1915591.0,3889824.0,,
1º Trim 2004,,,,,,,C2.1,Grandes divisiones,,,285759.0,42352.0,857421.0,47501.0,194757.0,640982.0,1949071.0,4017843.0,,
2º Trim 2004,,,,,,,C2.1,Grandes divisiones,,,288633.0,43406.0,874212.0,47906.0,204348.0,652563.0,1985488.0,4096556.0,,
3º Trim 2004,,,,,,,C2.1,Grandes divisiones,,,284136.0,44799.0,896450.0,48228.0,218614.0,681825.0,2058158.0,4232210.0,,
4º Trim 2004,,,,,,,C2.1,Grandes divisiones,,,287395.0,46536.0,924967.0,48760.0,239853.0,711745.0,2129161.0,4388417.0,,
1º Trim 2005,,,,,,,C2.1,Grandes divisiones,,,312301.0,48254.0,950471.0,48924.0,260936.0,733127.0,2179904.0,4533917.0,,
2º Trim 2005,,,,,,,C2.1,Grandes divisiones,,,314760.0,50610.0,967347.0,49560.0,282323.0,745844.0,2217117.0,4627561.0,,
3º Trim 2005,,,,,,,C2.1,Grandes divisiones,,,305910.0,51466.0,983077.0,49638.0,302773.0,762952.0,2263896.0,4719712.0,,
4º Trim 2005,,,,,,,C2.1,Grandes divisiones,,,311190.0,52684.0,1010893.0,50454.0,329801.0,791458.0,2344928.0,4891408.0,,
1º Trim 2006,,,,,,,C2.1,Grandes divisiones,,,334671.0,54880.0,1035402.0,51752.0,342454.0,812787.0,2386612.0,5018558.0,,
2º Trim 2006,,,,,,,C2.1,Grandes divisiones,,,332178.0,55641.0,1049942.0,51168.0,355865.0,819481.0,2413934.0,5078209.0,,
3º Trim 2006,,,,,,,C2.1,Grandes divisiones,,,321505.0,56782.0,1063773.0,51732.0,362932.0,836668.0,2455517.0,5148909.0,,
4º Trim 2006,,,,,,,C2.1,Grandes divisiones,,,327577.0,58901.0,1086738.0,52090.0,383999.0,866297.0,2535493.0,5311095.0,,
1º Trim 2007,,,,,,,C2.1,Grandes divisiones,,,348591.0,61241.0,1109295.0,52458.0,402135.0,895042.0,2578504.0,5447266.0,,
2º Trim 2007,,,,,,,C2.1,Grandes divisiones,,,345149.0,62707.0,1123138.0,52764.0,420690.0,902092.0,2606787.0,5513327.0,,
3º Trim 2007,,,,,,,C2.1,Grandes divisiones,,,332665.0,64649.0,1140625.0,52775.0,430619.0,923826.0,2657715.0,5602874.0,,
4º Trim 2007,,,,,,,C2.1,Grandes divisiones,,,344780.0,66607.0,1165080.0,53201.0,433660.0,967148.0,2750858.0,5781334.0,,
1º Trim 2008,,,,,,,C2.1,Grandes divisiones,,,362457.0,68479.0,1188300.0,53795.0,431007.0,983261.0,2788318.0,5875617.0,,
2º Trim 2008,,,,,,,C2.1,Grandes divisiones,,,366001.0,69564.0,1203506.0,54217.0,437104.0,991547.0,2805535.0,5927474.0,,
3º Trim 2008,,,,,,,C2.1,Grandes divisiones,,,350629.0,70540.0,1208069.0,54365.0,427220.0,1003998.0,2820263.0,5935084.0,,
4º Trim 2008,,,,,,,C2.1,Grandes divisiones,,,360767.0,70807.0,1203538.0,54399.0,418769.0,1014350.0,2840934.0,5963564.0,,
1º Trim 2009,,,,,,,C2.1,Grandes divisiones,,,365950.0,69550.0,1187356.0,54550.0,399967.0,1013554.0,2806472.0,5897399.0,,
2º Trim 2009,,,,,,,C2.1,Grandes divisiones,,,351772.0,68352.0,1167980.0,55578.0,397862.0,997371.0,2764024.0,5802939.0,,
3º Trim 2009,,,,,,,C2.1,Grandes divisiones,,,339940.0,67962.0,1166466.0,55929.0,394233.0,998420.0,2769274.0,5792224.0,,
4º Trim 2009,,,,,,,C2.1,Grandes divisiones,,,352196.0,68057.0,1177109.0,56282.0,391474.0,1015752.0,2814854.0,5875724.0,,
1º Trim 2010,,,,,,,C2.1,Grandes divisiones,,,360093.0,68999.0,1189136.0,56399.0,387619.0,1031306.0,2849927.0,5943479.0,,
2º Trim 2010,,,,,,,C2.1,Grandes divisiones,,,352488.0,69651.0,1198256.0,56633.0,393874.0,1027044.0,2848052.0,5945998.0,,
3º Trim 2010,,,,,,,C2.1,Grandes divisiones,,,337762.0,70741.0,1205362.0,57488.0,399773.0,1036722.0,2872583.0,5980431.0,,
4º Trim 2010,,,,,,,C2.1,Grandes divisiones,,,351888.0,71928.0,1218589.0,57592.0,414930.0,1060786.0,2928055.0,6103768.0,,
1º Trim 2011,,,,,,,C2.1,Grandes divisiones,,,371615.0,73074.0,1238823.0,58347.0,424520.0,1078372.0,2972969.0,6217720.0,,
2º Trim 2011,,,,,,,C2.1,Grandes divisiones,,,371402.0,73662.0,1251758.0,58990.0,438765.0,1074839.0,2976164.0,6245580.0,,
3º Trim 2011,,,,,,,C2.1,Grandes divisiones,,,354399.0,74813.0,1261346.0,59532.0,444826.0,1084593.0,3003503.0,6283012.0,,
4º Trim 2011,,,,,,,C2.1,Grandes divisiones,,,365544.0,76151.0,1275313.0,60230.0,452687.0,1106109.0,3047099.0,6383133.0,,
1º Trim 2012,,,,,,,C2.1,Grandes divisiones,,,371485.0,77344.0,1277582.0,60401.0,441096.0,1113576.0,3068034.0,6409518.0,,
2º Trim 2012,,,,,,,C2.1,Grandes divisiones,,,360179.0,77789.0,1273139.0,60999.0,436508.0,1099841.0,3036011.0,6344466.0,,
3º Trim 2012,,,,,,,C2.1,Grandes divisiones,,,347569.0,78205.0,1271066.0,61118.0,426424.0,1099886.0,3036786.0,6321054.0,,
4º Trim 2012,,,,,,,C2.1,Grandes divisiones,,,356722.0,78781.0,1282582.0,61923.0,424175.0,1116626.0,3073858.0,6394667.0,,
1º Trim 2013,,,,,,,C2.1,Grandes divisiones,,,374495.0,79800.0,1293072.0,62768.0,421600.0,1126511.0,3089304.0,6447550.0,,
2º Trim 2013,,,,,,,C2.1,Grandes divisiones,,,366799.0,80390.0,1290684.0,63345.0,430923.0,1111624.0,3064089.0,6407854.0,,
3º Trim 2013,,,,,,,C2.1,Grandes divisiones,,,344304.0,81428.0,1288510.0,64261.0,432100.0,1113712.0,3070952.0,6395267.0,,
4º Trim 2013,,,,,,,C2.1,Grandes divisiones,,,345355.0,83185.0,1293755.0,65047.0,433901.0,1128048.0,3102564.0,6451855.0,,
1º Trim 2014,,,,,,,C2.1,Grandes divisiones,,,361895.0,85401.0,1289801.0,65802.0,420784.0,1134998.0,3101987.0,6460668.0,,
2º Trim 2014,,,,,,,C2.1,Grandes divisiones,,,355567.0,86531.0,1280497.0,66617.0,423320.0,1117558.0,3071900.0,6401990.0,,
3º Trim 2014,,,,,,,C2.1,Grandes divisiones,,,350818.0,87803.0,1275184.0,67227.0,429957.0,1118274.0,3076020.0,6405283.0,,
4º Trim 2014,,,,,,,C2.1,Grandes divisiones,,,361000.0,89616.0,1277443.0,68163.0,438756.0,1129026.0,3115825.0,6479829.0,,
1º Trim 2015,,,,,,,C2.1,Grandes divisiones,,,375078.0,91217.0,1285911.0,68729.0,443999.0,1142994.0,3150637.0,6558565.0,,
2º Trim 2015,,,,,,,C2.1,Grandes divisiones,,,363892.0,90883.0,1293587.0,69564.0,462999.0,1138251.0,3150005.0,6569181.0,,
3º Trim 2015,,,,,,,C2.1,Grandes divisiones,,,348487.0,90420.0,1297372.0,70365.0,468268.0,1145022.0,3168767.0,6588701.0,,
4º Trim 2015,,,,,,,C2.1,Grandes divisiones,,,348005.0,89378.0,1297211.0,70691.0,452338.0,1157741.0,3201550.0,6616914.0,,
1º Trim 2016,,,,,,,C2.1,Grandes divisiones,,,360788.0,88101.0,1294001.0,70975.0,418658.0,1170537.0,3210336.0,6613396.0,,
2º Trim 2016,,,,,,,C2.1,Grandes divisiones,,,349308.0,85735.0,1276590.0,70993.0,412965.0,1157442.0,3172203.0,6525236.0,,
3º Trim 2016,,,,,,,C2.1,Grandes divisiones,,,345033.0,84523.0,1263596.0,71342.0,417391.0,1159093.0,3159704.0,6500682.0,,
4º Trim 2016,,,,,,,C2.1,Grandes divisiones,,,357917.0,83917.0,1258150.0,71669.0,425729.0,1171289.0,3189075.0,6557746.0,,
1º Trim 2017,,,,,,,C2.1,Grandes divisiones,,,370372.0,82478.0,1259441.0,72458.0,433064.0,1180196.0,3218563.0,6616572.0,,
2º Trim 2017,,,,,,,C2.1,Grandes divisiones,,,355772.0,81097.0,1248934.0,72758.0,447822.0,1169907.0,3195123.0,6571413.0,,
3º Trim 2017,,,,,,,C2.1,Grandes divisiones,,,349008.0,81033.0,1241237.0,73336.0,464141.0,1175185.0,3212406.0,6596346.0,,
4º Trim 2017,,,,,,,C2.1,Grandes divisiones,,,359618.0,81186.0,1243943.0,73950.0,475733.0,1191266.0,3249073.0,6674769.0,,
1º Trim 2018,,,,,,,C2.1,Grandes divisiones,,,373990.0,81493.0,1247541.0,74313.0,474194.0,1201779.0,3267448.0,6720758.0,,
2º Trim 2018,,,,,,,C2.1,Grandes divisiones,,,359921.0,84806.0,1231816.0,74213.0,475903.0,1186243.0,3235006.0,6647908.0,,
3º Trim 2018,,,,,,,C2.1,Grandes divisiones,,,357203.0,85153.0,1210188.0,74058.0,470659.0,1176707.0,3211902.0,6585870.0,,
4º Trim 2018,,,,,,,C2.1,Grandes divisiones,,,370902.0,86488.0,1191746.0,74010.0,462693.0,1165829.0,3216492.0,6568160.0,,
1º Trim 2019,,,,,,,C2.1,Grandes divisiones,,,379271.0,87967.0,1187362.0,74144.0,467355.0,1163210.0,3216405.0,6575714.0,,
2º Trim 2019,,,,,,,C2.1,Grandes divisiones,,,370196.0,89156.0,1171271.0,74216.0,465001.0,1142323.0,3169943.0,6482106.0,,
3º Trim 2019,,,,,,,C2.1,Grandes divisiones,,,361370.0,90088.0,1160372.0,74311.0,455031.0,1136649.0,3164872.0,6442693.0,,
4º Trim 2019,,,,,,,C2.1,Grandes divisiones,,,363815.0,89758.0,1145525.0,74145.0,424508.0,1133057.0,3173668.0,6404476.0,,
1º Trim 2020,,,,,,,C2.1,Grandes divisiones,,,374419.0,88939.0,1147976.0,73776.0,391147.0,1137548.0,3170274.0,6384079.0,,
2º Trim 2020,,,,,,,C2.1,Grandes divisiones,,,359054.0,86623.0,1131542.0,73509.0,334682.0,1105342.0,3036436.0,6127188.0,,
3º Trim 2020,,,,,,,C2.1,Grandes divisiones,,,350693.0,83946.0,1138305.0,73623.0,332733.0,1101772.0,3024192.0,6105264.0,,
